상점	시도명	시군구명	경도	위도
스타벅스	서울특별시	중구	127.006133081622	37.559637334572
이디야	서울특별시	강남구	127.041819329691	37.5252509543256
스타벅스	서울특별시	강남구	127.022506036871	37.5218849410754
이디야	서울특별시	강남구	127.056440999381	37.5221789486327
이디야	서울특별시	마포구	126.931678534065	37.549418048525
스타벅스	서울특별시	강남구	127.045958023572	37.5183012998145
이디야	서울특별시	영등포구	126.919574282578	37.5302599014954
이디야	서울특별시	서초구	127.019520989445	37.5148500163394
스타벅스	서울특별시	서초구	127.00681633008	37.5064271601893
이디야	서울특별시	서초구	127.019520989445	37.5148500163394
이디야	서울특별시	중구	126.975139869455	37.5565521000357
스타벅스	서울특별시	서초구	126.983047389605	37.4859872810427
이디야	서울특별시	중구	126.980965925363	37.5609095133129
스타벅스	서울특별시	중구	126.983663297339	37.5664831848697
스타벅스	서울특별시	강남구	127.026643378379	37.5020959446628
이디야	서울특별시	중구	126.982230332574	37.5669754231844
스타벅스	서울특별시	강남구	127.028564755794	37.4978317500288
이디야	서울특별시	마포구	126.925191088816	37.5574955580318
스타벅스	서울특별시	마포구	126.952968849419	37.5459595417436
이디야	서울특별시	마포구	126.953588789673	37.5509928534831
이디야	서울특별시	서초구	127.029220063815	37.4935120699427
스타벅스	서울특별시	서초구	127.030049982544	37.4844272247247
이디야	서울특별시	마포구	126.920296146909	37.5547387684549
스타벅스	서울특별시	영등포구	126.925980898343	37.5213799889039
이디야	서울특별시	강남구	127.048500978939	37.5113566651683
이디야	서울특별시	서초구	126.996073072997	37.4843326178498
스타벅스	서울특별시	서초구	127.044106392345	37.4736569936191
이디야	서울특별시	종로구	126.981659292931	37.5806482952864
이디야	서울특별시	중구	127.01088131917	37.5523517113372
이디야	서울특별시	강남구	127.060560942124	37.5075786596138
스타벅스	서울특별시	종로구	126.961371477076	37.5716323367569
스타벅스	서울특별시	종로구	126.978082271963	37.5698319313931
스타벅스	서울특별시	강남구	127.062646457685	37.494565941597
이디야	서울특별시	강남구	127.036608959864	37.4852467893652
이디야	서울특별시	서초구	127.024088422942	37.5037508251603
이디야	서울특별시	강남구	127.033091753681	37.527387399188
